Job_ID,Job_Title,Location,Company_ID,Company_Name,Industry,Employee_Count,LinkedIn_Followers,Class,Detail_ID,Emp_level,Total_Applicants
J64,Data Alyst,"Bangalore Urban, Kartaka,India",C50,LKQ Corporation,Automotive  ,5000,43182,Class-1,49,Entry level,33
J65,Mager- Process Engineering,"nagpur, Maharashtra,India",C51,Mahindra Group,Executive Office,5000,998435,Class-1,50,Mid-Senior level,141
J66,Industrial Engineer,"Chennai, Tamil nadu,India",C52,Ford Motor Company,Automotive  ,10001,3645053,Class-3,51,Entry level,197
J67,Data Alyst,"Noida, Uttar Pradesh,India",C53,Iris Software Inc,Information Technology & Services,10,230574,Class-1,13,Entry level,200
J68,Data Alyst,"Noida, Uttar Pradesh,India",C11,Optum,Hospital & Health Care ,10001,516149,Class-1,13,Entry level,200
J69,Planning - Business Alyst,"Mumbai, Maharashtra,India",C54,Zepto ,Computer Software,10000,94160,Class-1,10,Associate,200
J7,Alyst,"Hyderabad, Telangana,India",C5,Novartis India,Pharmaceuticals  ,5000,111727,Class-1,7,Associate,31
J70,Data Alyst - 08,"Pune, Maharashtra,India",C55,Michelin ,Automotive  ,5000,616381,Class-1,40,NULL,200
J71,Business Alytics Alyst,"Pune, Maharashtra,India",C56,Citi,Fincial Services,10001,3813311,Class-3,40,NULL,200
J72,Data Alyst,"Gurgaon, Harya,India",C57,Moody's Corporation ,Fincial Services,226,142187,Class-1,52,NULL,105
J73,Data Scientist-1,"Gurgaon, Harya,India",C58,Mastercard,Information Technology & Services,7,1096069,Class-1,53,Entry level,200
J74,"Data Alyst, 2","Bengaluru, Kartaka,India",C59,Bread Fincial ,Fincial Services,44,69790,Class-1,54,Associate,43
J75,P1-Lead Alyst - BI and Alytics_COA,"Gurgaon, Harya,India",C60,R1 RCM ,Hospital & Health Care,45,98792,Class-1,55,NULL,41
J76,"Alyst, Data Magement & Quantitative Alysis","Pune, Maharashtra,India",C61,BNY Mellon,Fincial Services,930,444685,Class-1,56,NULL,26
J77,Item Data Alyst,"Bengaluru, Kartaka,India",C62,Target,Retail  ,10001,1557165,Class-1,13,Entry level,200
J78,Associate Data Alyst,"Bengaluru, Kartaka,India",C63,Levi Strauss & Co,Apparel & Fashion,10001,601539,Class-1,40,NULL,200
J79,Business Alyst (Alytics),"Mumbai, Maharashtra,India",C64,yara Energy ,Oil & Energy,10001,189323,Class-1,30,Mid-Senior level,200
J8,Tableau Data Platform Engineer,"Pune, Maharashtra,India",C2,Accenture in India,Information Technology & Services,10001,1399337,Class-1,8,Entry level,9
J80,Data Mager,India,C65,Clario ,Computer Software,10000,39755,Class-1,10,Associate,200
J81,SDN Cloud Consultant / Architect,"Bengaluru, Kartaka,India",C66,Juniper Networks,Computer Software,200,630166,Class-1,57,Director,85
J82,Manufacturing Operations Mager,"Bengaluru, Kartaka,India",C67,Charcoal.linkedIn,Consumer Electronics,5000,14647,Class-1,40,NULL,200
J83,"Alyst, Data Science & Alytics","Pune, Maharashtra,India",C68,TransUnion ,Information Technology & Services,10000,277661,Class-1,40,NULL,200
J84,Business Alyst,"Bengaluru, Kartaka,India",C69,Saveo.in,"Health, Wellness & Fitness",50,44879,Class-1,40,NULL,200
J85,"Alyst, SerNavices Business Intelligence","Gurgaon, Harya,India",C70,Cie,Telecommunications  ,10000,171020,Class-1,58,NULL,5
J86,Data Science Mager/Senior Mager,"Hyderabad, Telangana,India",C71,Merilytics,Magement Consulting,500,42957,Class-1,59,Mid-Senior level,197
J87,"Alyst/Associate, Developer Alytics & Data Science, (Sql/Python/Tableau) Global Trading","Gurgaon, Harya,India",C72,BlackRock ,Fincial Services,10000,1160704,Class-1,60,NULL,181
J88,Business Alyst,"Bangalore Urban, Kartaka,India",C73,Embibe ,E-learning,50,65732,Class-1,61,Executive,200
